YEAR,MO,DY,HR,GHI,DNI,DHI,T2M,WS10M,Sun_Elevation,Optimal_Tilt_Target
2020,1,4,8,90.75,34.23,76.01,16.27,2.42,17.3673606596419,72.6326393403581
2020,1,4,9,157.45,69.31,121.01,17.31,2.63,28.5323006265153,61.4676993734847
2020,1,4,10,212.02,36.51,169.47,18.38,2.98,37.9610834636645,52.0389165363355
2020,1,4,11,272.02,7.96,227.16,19.65,3.21,44.5510590967172,45.4489409032828
2020,1,4,12,278.98,17.76,233.09,20.7,3.16,46.9720010325822,43.0279989674178
2020,1,4,13,292.23,27.06,236.74,21.29,2.84,44.5510590967172,45.4489409032828
2020,1,4,14,275.8,8.54,236.57,21.47,2.59,37.9610834636645,52.0389165363355
2020,1,4,15,188.3,14.21,160.3,21.35,2.64,28.5323006265153,61.4676993734847
2020,1,4,16,96.72,10.26,81.12,20.83,2.59,17.3673606596419,72.6326393403581
2020,1,4,17,14.95,1.65,15.88,18.77,1.91,5.15580816213316,84.8441918378668
2020,1,4,18,0,0,0,17.22,2.05,0,0
2020,1,4,19,0,0,0,16.56,2.06,0,0
2020,1,4,20,0,0,0,15.99,2.01,0,0
2020,1,4,21,0,0,0,15.51,1.91,0,0
2020,1,4,22,0,0,0,15.1,1.78,0,0
2020,1,4,23,0,0,0,14.8,1.63,0,0
2020,1,5,0,0,0,0,14.63,1.46,0,0
2020,1,5,1,0,0,0,14.53,1.34,0,0
2020,1,5,2,0,0,0,14.26,1.48,0,0
2020,1,5,3,0,0,0,13.82,1.75,0,0
2020,1,5,4,0,0,0,13.51,1.97,0,0
2020,1,5,5,0,0,0,13.32,2.15,0,0
2020,1,5,6,0,0,0,13.25,2.28,0,0
2020,1,5,7,35.83,22.19,30.81,14.79,2.25,5.19790195285032,84.8020980471497
2020,1,5,8,146.38,115.54,113.53,17.21,2.81,17.4205671431307,72.5794328568693
2020,1,5,9,245.73,161.18,161.49,19.79,2.87,28.5987656466309,61.4012343533691
2020,1,5,10,354.38,160.42,215.58,21.6,3.26,38.0425648521184,51.9574351478816
2020,1,5,11,425.92,166.8,251.78,22.67,3.66,44.6463807131897,45.3536192868103
2020,1,5,12,591.17,341.78,310.01,23.24,3.99,47.0733984619937,42.9266015380063
2020,1,5,13,581.6,357.23,295.84,23.44,4.17,44.6463807131897,45.3536192868103
2020,1,5,14,473,387.09,219.25,23.38,4.13,38.0425648521184,51.9574351478816
2020,1,5,15,320.85,351.55,163.32,22.91,3.7,28.5987656466309,61.4012343533691
2020,1,5,16,167.8,224.47,103.54,21.81,2.76,17.4205671431307,72.5794328568693
2020,1,5,17,26.05,27.29,24.9,19.27,2.19,5.19790195285032,84.8020980471497
2020,1,5,18,0,0,0,17.91,2.28,0,0
2020,1,5,19,0,0,0,17.23,2.24,0,0
2020,1,5,20,0,0,0,16.38,2.37,0,0
2020,1,5,21,0,0,0,15.53,2.51,0,0
2020,1,5,22,0,0,0,14.71,2.63,0,0
2020,1,5,23,0,0,0,13.97,2.75,0,0
2020,1,6,0,0,0,0,13.31,2.8,0,0
2020,1,6,1,0,0,0,12.71,2.86,0,0
2020,1,6,2,0,0,0,12.13,2.89,0,0
2020,1,6,3,0,0,0,11.52,2.82,0,0
2020,1,6,4,0,0,0,10.93,2.77,0,0
2020,1,6,5,0,0,0,10.38,2.71,0,0
2020,1,6,6,0,0,0,9.85,2.65,0,0
2020,1,6,7,44.65,27.82,38.37,11.18,3.14,5.24276670612169,84.7572332938783
2020,1,6,8,194.62,203.68,128.87,13.38,3.37,17.4772499751257,72.5227500248743
2020,1,6,9,380.77,360.38,196.92,16.39,2.72,28.6695679473801,61.3304320526199
2020,1,6,10,556.38,498.79,227.09,19.51,2.67,38.1293839798209,51.8706160201791
2020,1,6,11,660.15,555.15,235.26,20.94,1.94,44.747988161413,45.252011838587
2020,1,6,12,686.6,574.59,240.59,21.71,1.38,47.1815065681945,42.8184934318055
2020,1,6,13,636.95,558.26,223.58,22.14,1.12,44.747988161413,45.252011838587
2020,1,6,14,546.05,571.27,183.82,22.22,1.05,38.1293839798209,51.8706160201791
2020,1,6,15,382.08,478.11,145.97,21.89,1.12,28.6695679473801,61.3304320526199
2020,1,6,16,195.05,337.03,92.88,21.03,1.18,17.4772499751257,72.5227500248743
2020,1,6,17,29.23,45.1,24.78,18.96,1.33,5.24276670612169,84.7572332938783
2020,1,6,18,0,0,0,17.4,1.55,0,0
2020,1,6,19,0,0,0,16.52,1.73,0,0
2020,1,6,20,0,0,0,15.55,1.85,0,0
2020,1,6,21,0,0,0,14.61,1.94,0,0
2020,1,6,22,0,0,0,14.04,1.8,0,0
2020,1,6,23,0,0,0,13.74,1.42,0,0
2020,1,7,0,0,0,0,13.33,1.16,0,0
2020,1,7,1,0,0,0,12.65,1.32,0,0
2020,1,7,2,0,0,0,11.72,1.7,0,0
2020,1,7,3,0,0,0,11.06,1.97,0,0
2020,1,7,4,0,0,0,10.66,2.06,0,0
2020,1,7,5,0,0,0,10.27,2.16,0,0
2020,1,7,6,0,0,0,9.89,2.3,0,0
2020,1,7,7,50.22,66.41,41.13,11.36,2.22,5.2903861255567,84.7096138744433
2020,1,7,8,218.93,310.74,113.99,13.99,2.43,17.5373835326662,72.4626164673338
2020,1,7,9,413.27,473.04,171.04,17.22,1.15,28.7446744595484,61.2553255404516
2020,1,7,10,582.58,611.92,181.26,19.71,0.59,38.2215042625927,51.7784957374073
2020,1,7,11,683.38,669.94,185.56,20.93,0.21,44.8558467923329,45.1441532076671
2020,1,7,12,713.85,691.69,185.61,21.79,0.72,47.2962933164198,42.7037066835802
2020,1,7,13,670.2,676.87,176.89,22.32,1.04,44.8558467923329,45.1441532076671
2020,1,7,14,557.95,611.24,174.18,22.49,1.08,38.2215042625927,51.7784957374073
2020,1,7,15,389.55,509.46,142.26,22.24,1.02,28.7446744595484,61.2553255404516
2020,1,7,16,193.35,303.58,100.53,21.54,0.86,17.5373835326662,72.4626164673338
2020,1,7,17,29.3,30.85,26.63,20.08,0.68,5.2903861255567,84.7096138744433
2020,1,7,18,0,0,0,19.12,0.4,0,0
2020,1,7,19,0,0,0,18.66,0.22,0,0
2020,1,7,20,0,0,0,18.18,0.25,0,0
2020,1,7,21,0,0,0,17.53,0.39,0,0
2020,1,7,22,0,0,0,16.83,0.6,0,0
2020,1,7,23,0,0,0,16,0.9,0,0
2020,1,8,0,0,0,0,15,1.24,0,0
2020,1,8,1,0,0,0,13.82,1.55,0,0
2020,1,8,2,0,0,0,12.68,1.94,0,0
2020,1,8,3,0,0,0,11.92,2.04,0,0
2020,1,8,4,0,0,0,11.43,2.06,0,0
2020,1,8,5,0,0,0,11.17,1.98,0,0
2020,1,8,6,0,0,0,10.78,2.02,0,0
2020,1,8,7,49.95,45.85,44.28,11.86,1.86,5.34074288227562,84.6592571177244
2020,1,8,8,216,279.82,122.24,14.6,2.28,17.6009406058443,72.3990593941557
2020,1,8,9,402.77,443.3,174.31,17.31,1.29,28.8240500603328,61.1759499396672
2020,1,8,10,564.38,564.3,190.25,20.79,0.64,38.3188868221461,51.6811131778539
2020,1,8,11,655.5,579.18,220.55,22.34,0.9,44.9699197889338,45.0300802110662
2020,1,8,12,654.88,519.98,234.8,23.14,1.09,47.4177246928787,42.5822753071213
2020,1,8,13,610.3,501.27,224.89,23.65,1.19,44.9699197889338,45.0300802110662
2020,1,8,14,501.25,426.31,217.36,23.75,1.41,38.3188868221461,51.6811131778539
2020,1,8,15,340.38,337.47,166.99,23.38,1.63,28.8240500603328,61.1759499396672
