YEAR,MO,DY,HR,GHI,DNI,DHI,T2M,WS10M,Sun_Elevation,Optimal_Tilt_Target
2025,1,4,7,531.45,357.66,247.44,23.23,1.19,5.15580816213316,84.8441918378668
2025,1,4,8,428.15,304.84,219.86,23.48,1.12,17.3673606596419,72.6326393403581
2025,1,4,9,314.5,282.89,165,23.21,1.06,28.5323006265153,61.4676993734847
2025,1,4,10,152.38,170.75,94.41,22.49,0.85,37.9610834636645,52.0389165363355
2025,1,4,11,21.02,6.76,20.23,20.92,0.51,44.5510590967172,45.4489409032828
2025,1,4,12,0,0,0,19.63,0.84,46.9720010325822,43.0279989674178
2025,1,4,13,0,0,0,18.35,1.33,44.5510590967172,45.4489409032828
2025,1,4,14,0,0,0,17.29,1.67,37.9610834636645,52.0389165363355
2025,1,4,15,0,0,0,16.57,1.74,28.5323006265153,61.4676993734847
2025,1,4,16,0,0,0,16.13,1.58,17.3673606596419,72.6326393403581
2025,1,4,17,0,0,0,15.72,1.21,5.15580816213316,84.8441918378668
2025,1,4,18,0,0,0,15.86,0.73,0,0
2025,1,4,19,0,0,0,15.66,0.41,0,0
2025,1,4,20,0,0,0,14.83,0.69,0,0
2025,1,4,21,0,0,0,13.84,1.13,0,0
2025,1,4,22,0,0,0,13.02,1.47,0,0
2025,1,4,23,0,0,0,12.45,1.68,0,0
2025,1,5,0,0,0,0,12.02,1.79,0,0
2025,1,5,1,37.78,14.08,36.21,12.82,1.69,0,0
2025,1,5,2,168.35,122.89,118.72,15.34,2.08,0,0
2025,1,5,3,331.5,241.66,189.12,18,1.23,0,0
2025,1,5,4,437.65,277.85,234.18,21,1.19,0,0
2025,1,5,5,538.05,335.25,264.57,22.56,1.04,0,0
2025,1,5,6,591.22,397.47,257.01,23.42,0.69,0,0
2025,1,5,7,542.2,371.19,248.43,23.91,0.41,5.19790195285032,84.8020980471497
2025,1,5,8,442.58,329.62,219.27,24.04,0.4,17.4205671431307,72.5794328568693
2025,1,5,9,324.27,302,164.25,23.81,0.48,28.5987656466309,61.4012343533691
2025,1,5,10,150.07,155.87,95.53,23.06,0.52,38.0425648521184,51.9574351478816
2025,1,5,11,22.58,8.67,22.33,21.29,0.66,44.6463807131897,45.3536192868103
2025,1,5,12,0,0,0,20.05,0.94,47.0733984619937,42.9266015380063
2025,1,5,13,0,0,0,19.14,1.12,44.6463807131897,45.3536192868103
2025,1,5,14,0,0,0,18.29,1.29,38.0425648521184,51.9574351478816
2025,1,5,15,0,0,0,17.75,1.39,28.5987656466309,61.4012343533691
2025,1,5,16,0,0,0,16.82,1.49,17.4205671431307,72.5794328568693
2025,1,5,17,0,0,0,16,1.55,5.19790195285032,84.8020980471497
2025,1,5,18,0,0,0,15.29,1.58,0,0
2025,1,5,19,0,0,0,14.46,1.64,0,0
2025,1,5,20,0,0,0,13.74,1.77,0,0
2025,1,5,21,0,0,0,13.15,1.87,0,0
2025,1,5,22,0,0,0,12.73,1.89,0,0
2025,1,5,23,0,0,0,12.43,1.91,0,0
2025,1,6,0,0,0,0,12.17,1.89,0,0
2025,1,6,1,38.3,14.25,38.03,13.19,1.59,0,0
2025,1,6,2,171.15,123.57,123.85,15.78,1.6,0,0
2025,1,6,3,336.95,249.76,199.45,18.09,0.94,0,0
2025,1,6,4,480.17,344.55,239.71,21.79,0.21,0,0
2025,1,6,5,584.97,411.07,263.04,23.38,0.84,0,0
2025,1,6,6,525.2,256.39,296.42,24.11,1.43,0,0
2025,1,6,7,489.08,258.81,256.25,24.52,1.41,5.24276670612169,84.7572332938783
2025,1,6,8,409.25,263.2,217.66,24.6,1.36,17.4772499751257,72.5227500248743
2025,1,6,9,285.1,200.57,172.77,24.28,1.2,28.6695679473801,61.3304320526199
2025,1,6,10,130.15,97.52,91.99,23.58,0.73,38.1293839798209,51.8706160201791
2025,1,6,11,22.48,8.44,20.95,22.09,0.38,44.747988161413,45.252011838587
2025,1,6,12,0,0,0,21.08,0.39,47.1815065681945,42.8184934318055
2025,1,6,13,0,0,0,20.36,0.51,44.747988161413,45.252011838587
2025,1,6,14,0,0,0,19.74,0.65,38.1293839798209,51.8706160201791
2025,1,6,15,0,0,0,19.11,0.9,28.6695679473801,61.3304320526199
2025,1,6,16,0,0,0,18.03,1.16,17.4772499751257,72.5227500248743
2025,1,6,17,0,0,0,17.36,1.41,5.24276670612169,84.7572332938783
2025,1,6,18,0,0,0,16.6,1.59,0,0
2025,1,6,19,0,0,0,15.92,1.66,0,0
2025,1,6,20,0,0,0,15.33,1.63,0,0
2025,1,6,21,0,0,0,14.63,1.8,0,0
2025,1,6,22,0,0,0,13.92,2.02,0,0
2025,1,6,23,0,0,0,13.39,2.18,0,0
2025,1,7,0,0,0,0,12.93,2.37,0,0
2025,1,7,1,37.83,14.7,35.88,14.01,2.24,0,0
2025,1,7,2,174.45,135.63,126.26,16.69,3.06,0,0
2025,1,7,3,345.73,270.09,194.3,18.76,2.59,0,0
2025,1,7,4,462.95,320.48,233.09,21.84,2.62,0,0
2025,1,7,5,565.78,390.14,247.15,23.85,2.78,0,0
2025,1,7,6,588.33,394.04,264.18,24.93,2.86,0,0
2025,1,7,7,563.03,416.28,239.56,25.43,2.92,5.2903861255567,84.7096138744433
2025,1,7,8,449.58,345.15,209.44,25.53,2.96,17.5373835326662,72.4626164673338
2025,1,7,9,333.27,325.77,163.86,24.95,2.82,28.7446744595484,61.2553255404516
2025,1,7,10,153.93,165.35,96.75,23.49,2.2,38.2215042625927,51.7784957374073
2025,1,7,11,23.1,10.22,20.42,20.76,1.99,44.8558467923329,45.1441532076671
2025,1,7,12,0,0,0,19.64,2.09,47.2962933164198,42.7037066835802
2025,1,7,13,0,0,0,18.78,2.32,44.8558467923329,45.1441532076671
2025,1,7,14,0,0,0,17.71,2.62,38.2215042625927,51.7784957374073
2025,1,7,15,0,0,0,16.59,2.84,28.7446744595484,61.2553255404516
2025,1,7,16,0,0,0,15.65,2.94,17.5373835326662,72.4626164673338
2025,1,7,17,0,0,0,14.88,2.99,5.2903861255567,84.7096138744433
2025,1,7,18,0,0,0,14.24,3.02,0,0
2025,1,7,19,0,0,0,13.66,3.05,0,0
2025,1,7,20,0,0,0,13.15,3.12,0,0
2025,1,7,21,0,0,0,12.71,3.22,0,0
